,정류소번호,정류소명,X좌표,Y좌표,자치구
306,01814,교육과정평가원,126.9817444742,37.5874185176,종로구
307,01815,이화사거리,127.0022812884,37.575320067199996,종로구
308,01816,연화정사,126.9794938432,37.6146490046,종로구
309,01817,대신중고,126.9616893251,37.5726178078,종로구
310,01819,현대사거리,126.9866353642,37.5792417814,종로구
311,01820,교남동주민센터,126.9612800199,37.5721522968,종로구
312,01821,부암동주민센터.무계원,126.96376822629999,37.5929353403,종로구
313,01823,형제봉매표소,126.9816861503,37.6128643152,종로구
314,01824,교남동새마을금고,126.962337459,37.5714943551,종로구
315,01825,창신초교,127.01572009610001,37.5760372123,종로구
316,01826,가회동주민센터,126.9851293823,37.5799426497,종로구
317,01827,볼링장,126.9879589184,37.5792554401,종로구
318,01829,부암슈퍼,126.9638602023,37.5947600723,종로구
319,01830,지구촌교회,126.9793481616,37.6130468496,종로구
320,01831,월암공원,126.9639860521,37.571188468,종로구
321,01832,숭인1동주민센터,127.01556074780001,37.5774150014,종로구
322,01833,북촌한옥마을입구.정세권활동터,126.98516874459999,37.5812807738,종로구
323,01835,하림각,126.9629663842,37.5976847268,종로구
324,01836,보현빌라,126.97828162350001,37.6152615256,종로구
325,01837,스위스대사관,126.96580575459998,37.569988785,종로구
326,01839,안국선원.삼거리,126.9852205387,37.582743249699995,종로구
327,01840,세검정교회,126.95947049549999,37.599563246799995,종로구
328,01841,혜화동로터리,127.00100322979999,37.5859196111,종로구
329,01842,북악휴게실,126.97811229530001,37.613263788400005,종로구
330,01843,서울시교육청,126.9668249505,37.5692429716,종로구
331,01844,창신쌍용1단지.종로센트레빌아파트,127.01556927850001,37.5803228198,종로구
332,01845,사우디대사관,126.9852486243,37.583863308000005,종로구
333,01846,상명대입구,126.9574023475,37.5998544708,종로구
334,01847,혜화초등학교,126.9999909413,37.5873892922,종로구
335,01848,북악파크,126.9778558349,37.6110083234,종로구
336,01849,강북삼성병원,126.9683376852,37.5685315243,종로구
337,01850,청룡사.보문파크뷰자이아파트,127.01715087870001,37.5797846496,종로구
338,01851,감사원,126.9855618026,37.5862656518,종로구
339,01852,국민생활관,126.99931378389999,37.5896275957,종로구
340,01853,귀빈예식장,126.9733337071,37.6089952635,종로구
341,01855,종로센트레빌후문.e편한세상보문아파트,127.01623537110001,37.5818978359,종로구
342,01856,통일부,126.9861073451,37.5875308468,종로구
343,01858,서울국제고등학교,126.9971407875,37.5890742944,종로구
344,01860,성대후문.와룡공원,126.989734001,37.5891522774,종로구
345,01861,상명초등학교,126.9568173576,37.600904926,종로구
346,01862,새마을금고,126.9965690016,37.5878406881,종로구
347,01863,경진빌라,126.9579482257,37.601864091100005,종로구
348,01864,명륜시장.성대후문,126.99523051620001,37.5887246101,종로구
349,01865,완성빌라,126.9576665157,37.6033399708,종로구
350,01866,양현관,126.9937685575,37.5897680031,종로구
351,01868,상명대후문,126.9574633677,37.6040715802,종로구
352,01869,샘미용실,126.9934084203,37.5902545716,종로구
353,01870,산정빌라,126.9575782035,37.6052835831,종로구
354,01872,문방구,126.95798093350001,37.6061334517,종로구
355,01873,마트앞,126.958756466,37.606698706399996,종로구
356,01874,국민은행.세검정지점,126.96078595450001,37.6048873133,종로구
357,01875,화정박물관,126.96568673200001,37.604859104,종로구
358,01876,혜화역4번출구,127.0014561074,37.5834632357,종로구
359,01877,방송통신대앞,127.0019926794,37.5786973612,종로구
360,01878,서울대치과대학,126.99787489219999,37.5773060748,종로구
361,01879,효제초교.연동교회.김마리아활동터,127.00220878110001,37.5736413355,종로구
362,01881,성균관대학교,126.99000359530001,37.5884638684,종로구
363,01882,독립문역,126.9594077577,37.5732838531,종로구
364,01883,서울대치과대학,126.9977741191,37.5776016307,종로구
365,01886,이화사거리,127.0020084833,37.576948343699996,종로구
366,01887,서울대학교병원현관.암병원현관,126.99815676530001,37.5789514712,종로구
367,01888,종각.공평유적전시관,126.9832427053,37.5715937879,종로구
368,01889,조계사,126.9831199261,37.5738654222,종로구
369,01893,인사동.아벤트리호텔,126.983156342,37.5730319178,종로구
370,01894,세종문화회관,126.9765653997,37.5722306242,종로구
371,01901,JW메리어트동대문호텔,127.0094731042,37.5703018655,종로구
372,01902,대학로,127.00212041639999,37.58189612,종로구
373,01903,창경궁,126.9964163097,37.5791596347,종로구
374,01904,창덕궁,126.9901776043,37.577530170799996,종로구
375,01905,인사동.북촌,126.98379778729999,37.5758950223,종로구
376,01906,경복궁.국립민속박물관,126.9797957358,37.5802042819,종로구
377,01907,세종문화회관,126.97646443219999,37.5711271958,종로구
378,01910,통인시장,126.97133157270001,37.5791187605,종로구
379,01911,세종문화회관,126.97640986530001,37.572102694899996,종로구
380,01912,종각역,126.98289441709998,37.5693799579,종로구
381,01913,인사동.탑골공원,126.98880064129999,37.5701155367,종로구
382,01914,종묘.세운상가,126.99419500319999,37.5703739329,종로구
383,01915,광장시장,126.9996734151,37.5706237295,종로구
384,01916,동묘.숭인동도깨비시장,127.0180439092,37.5734766013,종로구
385,01917,서울풍물시장,127.0231780999,37.5733400255,종로구
386,01918,청와대,126.9737600308,37.582684814000004,종로구
387,02001,남대문세무서.서울백병원,126.9875299251,37.5649848069,중구
388,02002,서울백병원.국가인권위.안중근활동터,126.9878515151,37.5643504711,중구
389,02003,서울역버스환승센터,126.9723557945,37.5550251461,중구
390,02004,서울역버스환승센터,126.9725027692,37.5554748264,중구
391,02005,서울역버스환승센터,126.9727617448,37.5553876977,중구
392,02006,서울역버스환승센터,126.9728547738,37.5554794133,중구
393,02007,서울역버스환승센터.강우규의거터,126.9731162301,37.5554839786,중구
394,02008,숭례문,126.97377839040001,37.5586388574,중구
395,02100,서울시청,126.9806320857,37.5661382638,중구
396,02101,만리동고개,126.9626582054,37.551787064,중구
397,02102,손기정체육공원입구,126.96623390129999,37.5544459527,중구
398,02103,경기여상입구.서울역서부,126.96793929729999,37.5565519034,중구
399,02104,서울역서부,126.96937624379999,37.5563255909,중구
400,02105,서울역서부,126.96927728629998,37.556997906999996,중구
401,02106,중림동교차로,126.96913543950001,37.5583836266,중구
402,02107,종근당.충정로역,126.964480544,37.5595131906,중구
403,02108,한국경제신문사,126.96786801489999,37.560211149699995,중구
404,02109,한국경제신문사,126.9681135141,37.5606234736,중구
405,02110,경찰청.동북아역사재단,126.96912672280001,37.5630494858,중구
406,02111,써미트호텔,127.00678397690001,37.5624042727,중구
407,02113,서대문경찰서.농협은행.유관순활동터,126.9677868059,37.5649062803,중구
408,02116,염천교,126.9733602844,37.5598597457,중구
409,02117,숭례문,126.97329328110001,37.5582968367,중구
410,02118,숭례문.한국일보,126.9737375955,37.558771309099996,중구
411,02120,후암삼거리,126.9760823693,37.5533418143,중구
412,02121,숭례문,126.9744042993,37.558732708499996,중구
413,02122,숭례문,126.97402,37.558487,중구
414,02123,숭례문,126.97369826399999,37.557960316,중구
415,02124,남대문시장악세사리전문상가,126.9762051934,37.5586132397,중구
416,02125,숭례문남산방향,126.9756720863,37.558558164299995,중구
417,02126,남대문시장,126.9800597585,37.561191081,중구
418,02127,북창동.남대문시장,126.97792,37.561175,중구
419,02128,시청앞,126.97655812129999,37.5623244458,중구
420,02131,삼성본관앞,126.9759075283,37.5620517519,중구
421,02132,시청앞,126.97614274770001,37.562762762199995,중구
422,02133,서소문,126.9748872517,37.563206740700004,중구
423,02134,서소문,126.9753398851,37.5636754044,중구
424,02135,시청.서소문청사,126.9749539314,37.563524840700005,중구
425,02137,서울신문사,126.9773647051,37.5683632936,중구
426,02139,우리은행종로지점,126.9829289124,37.567519004699996,중구
427,02140,롯데백화점,126.9820649381,37.5644917964,중구
428,02141,해운센터.롯데영프라자,126.98154783940001,37.562890784699995,중구
429,02142,롯데영프라자,126.98200800000001,37.562884999999994,중구
430,02144,신세계앞,126.9815255531,37.5608492473,중구
431,02145,남대문시장.회현역,126.97776505459998,37.558267523699996,중구
432,02146,남대문시장.회현역,126.9784645011,37.558492025700005,중구
433,02147,남산3호터널,126.982669512,37.558455773,중구
434,02148,남산3호터널.서울애니메이션센터,126.9826359346,37.5595260891,중구
435,02149,명동입구,126.98524075030001,37.5606538896,중구
436,02150,퇴계로2가.명동역,126.98449136229999,37.5608934844,중구
